Data;IBOVESPA;IVVB11;DÓLAR;IFIX;OZ1D
05/11/2019;-0,06%;-0,76%;1,07%;-0,09%;-0,60%
04/11/2019;0,54%;1,71%;1,43%;0,33%;-1,36%
01/11/2019;0,91%;-0,05%;0,77%;0,14%;0,94%
31/10/2019;-1,10%;0,01%;0,30%;0,50%;2,06%
30/10/2019;0,79%;0,13%;0,34%;0,31%;0,00%
29/10/2019;-0,58%;0,17%;-0,64%;0,02%;-0,75%
28/10/2019;0,77%;-0,09%;-0,36%;0,10%;-0,74%
25/10/2019;0,35%;-0,14%;0,60%;0,27%;0,50%
24/10/2019;-0,52%;0,19%;0,39%;0,13%;-0,50%
23/10/2019;0,15%;-0,77%;-0,85%;0,29%;-0,93%
22/10/2019;1,28%;-1,69%;0,11%;0,23%;-1,01%
21/10/2019;1,23%;1,14%;-1,55%;0,55%;-0,97%
18/10/2019;-0,27%;-1,31%;-1,58%;0,33%;1,96%
17/10/2019;-0,39%;0,46%;0,14%;0,06%;-1,21%
16/10/2019;0,89%;-0,83%;-0,14%;0,36%;1,22%
15/10/2019;0,18%;2,26%;-0,20%;0,32%;0,49%
14/10/2019;0,45%;0,44%;-0,61%;0,03%;-0,49%
11/10/2019;1,98%;0,18%;0,54%;0,28%;-0,39%
10/10/2019;0,56%;1,33%;0,55%;0,17%;0,39%
09/10/2019;1,27%;1,71%;0,49%;0,06%;-1,21%
08/10/2019;-0,59%;-1,99%;-0,21%;0,05%;-1,64%
07/10/2019;-1,93%;0,62%;0,47%;-0,04%;2,82%
04/10/2019;1,02%;1,23%;0,21%;0,24%;0,10%
03/10/2019;0,48%;-1,14%;0,44%;-0,03%;-2,39%
02/10/2019;-2,90%;-2,40%;0,19%;0,00%;0,48%
01/10/2019;-0,66%;-1,11%;-0,98%;-0,27%;1,96%
30/09/2019;-0,32%;0,61%;-1,29%;0,24%;-4,00%
27/09/2019;-0,23%;-0,93%;-0,46%;0,31%;-2,07%
26/09/2019;0,80%;1,26%;0,23%;-0,11%;-2,47%
25/09/2019;0,58%;-0,85%;0,14%;0,17%;-0,27%
24/09/2019;-0,73%;-0,77%;0,28%;0,05%;2,81%
23/09/2019;-0,17%;0,13%;-0,86%;-0,04%;1,64%
20/09/2019;0,46%;-0,55%;0,25%;0,12%;1,18%
19/09/2019;-0,18%;1,60%;-0,03%;0,21%;1,69%
18/09/2019;-0,08%;0,38%;0,11%;0,00%;0,68%
17/09/2019;0,90%;-0,08%;0,71%;0,12%;-1,39%
16/09/2019;0,17%;-0,14%;1,03%;-0,09%;2,20%
13/09/2019;-0,83%;0,40%;-0,06%;0,09%;0,00%
12/09/2019;0,89%;0,37%;0,31%;0,13%;1,48%
11/09/2019;0,40%;0,18%;0,63%;-0,21%;0,00%
10/09/2019;-0,14%;-0,49%;0,30%;-0,02%;1,00%
09/09/2019;0,24%;0,71%;-0,34%;-0,06%;0,25%
06/09/2019;0,68%;-0,79%;-1,16%;-0,02%;-1,97%
05/09/2019;1,03%;1,35%;0,84%;-0,07%;-2,68%
04/09/2019;1,52%;-0,62%;0,29%;0,18%;-1,14%
03/09/2019;-0,94%;0,41%;-0,51%;0,03%;0,19%
02/09/2019;-0,50%;0,36%;-0,95%;0,00%;-0,75%
30/08/2019;0,61%;-1,09%;-0,98%;0,65%;-3,15%
29/08/2019;2,37%;3,15%;0,18%;0,28%;0,05%
28/08/2019;0,94%;-0,57%;0,47%;0,30%;-2,62%
27/08/2019;0,88%;-0,29%;-0,71%;0,11%;2,23%
26/08/2019;-1,27%;1,58%;0,29%;-0,23%;-2,00%
23/08/2019;-2,34%;-1,47%;0,00%;0,04%;1,17%
22/08/2019;-1,18%;0,00%;0,46%;0,03%;3,98%
21/08/2019;2,00%;1,28%;1,26%;0,06%;0,19%
20/08/2019;-0,25%;-0,96%;1,01%;-0,36%;4,16%
19/08/2019;-0,34%;2,67%;0,47%;-0,14%;0,25%
16/08/2019;0,76%;1,88%;-0,42%;0,38%;-0,97%
15/08/2019;-1,20%;-0,96%;0,37%;-0,09%;-2,37%
14/08/2019;-2,94%;-1,23%;0,85%;-0,25%;2,67%
13/08/2019;1,36%;1,27%;-0,63%;0,25%;-1,20%
12/08/2019;-2,00%;-0,26%;0,28%;-0,37%;1,46%
09/08/2019;-0,11%;-0,27%;0,85%;-0,45%;-1,20%
08/08/2019;1,30%;0,71%;-0,58%;-0,09%;-0,24%
07/08/2019;0,61%;0,46%;1,53%;0,14%;7,80%
