Data;Abertura;Máxima;Mínima;Fechamento;Compra;Venda
26/04/2019;96552,15;96563,2;95620,12;96236,04;0;0
25/04/2019;95026,88;96552,03;94212,77;96552,03;0;0
24/04/2019;95923,48;95923,48;94163,33;95045,43;0;0
23/04/2019;94590,49;96315,4;94590,49;95923,24;0;0
22/04/2019;94577,82;95037,9;93720,5;94588,06;0;0
18/04/2019;93285,33;95140,29;93285,33;94578,26;0;0
17/04/2019;94336,78;95041,78;92337,54;93284,75;0;0
16/04/2019;93082,09;95061,95;92878,99;94333,31;0;0
15/04/2019;92874,83;93722,86;92697,05;93082,97;0;0
12/04/2019;94746,92;94768,18;92516,32;92875;0;0
11/04/2019;95953,9;95953,9;94173,36;94754,7;0;0
10/04/2019;96291,79;96902,14;95669,58;95953,45;0;0
09/04/2019;97366,05;97366,05;95487,57;96291,79;0;0
08/04/2019;97110,05;97610,25;96742,91;97369,29;0;0
